Type,Cases,Deaths
Linear Model,120315.0,7030.237853230485
Linear Model,120851.0,7039.059663432756
Linear Model,121084.0,7042.894517494563
Linear Model,121296.0,7046.383740932774
Linear Model,121926.0,7056.752659640667
Linear Model,122271.0,7062.430877028322
Linear Model,122580.0,7067.516584775527
Linear Model,123051.0,7075.268585904761
Linear Model,123464.0,7082.065988168823
Linear Model,123670.0,7085.456460000292
Linear Model,123826.0,7088.0240017755805
Linear Model,124035.0,7091.463849410421
Linear Model,124936.0,7106.293049022819
Linear Model,125269.0,7111.77376319699
Linear Model,125505.0,7115.65799306217
Linear Model,126212.0,7127.294224056583
Linear Model,126421.0,7130.734071691422
Linear Model,126680.0,7134.996849382445
Linear Model,127433.0,7147.390176028544
Linear Model,127778.0,7153.068393416201
Linear Model,128239.0,7160.655808534198
Linear Model,128706.0,7168.341975258937
Linear Model,129253.0,7177.344830073567
Linear Model,129582.0,7182.759709843244
Linear Model,129829.0,7186.824984320783
Linear Model,130849.0,7203.612757466894
Linear Model,131385.0,7212.434567669165
Linear Model,131956.0,7221.832428910762
Linear Model,132582.0,7232.13551321416
Linear Model,133197.0,7242.257552905197
Linear Model,133587.0,7248.676407343417
Linear Model,133955.0,7254.7331725569165
Linear Model,134335.0,7260.9874409838985
Linear Model,135826.0,7285.527215259244
Linear Model,136276.0,7292.933585764881
Linear Model,137169.0,7307.631116568291
Linear Model,137976.0,7320.913207675067
Linear Model,138515.0,7329.784393680708
Linear Model,139028.0,7338.227656057135
Linear Model,140487.0,7362.240755096524
Linear Model,141318.0,7375.917852630268
Linear Model,142270.0,7391.586440899971
Linear Model,143149.0,7406.0535512876495
Linear Model,144513.0,7428.503083220292
Linear Model,145137.0,7438.773250321443
Linear Model,146321.0,7458.2602340518315
Linear Model,148046.0,7486.651320990108
Linear Model,149351.0,7508.129795456456
Linear Model,150652.0,7529.5424355183095
Linear Model,151944.0,7550.806948170051
Linear Model,153680.0,7579.3790797206875
Linear Model,154948.0,7600.248585945461
Linear Model,156560.0,7626.779850956767
Linear Model,158510.0,7658.8741231478625
Linear Model,160441.0,7690.6556819176085
Linear Model,162736.0,7728.428171496359
Linear Model,164583.0,7758.827207771719
Linear Model,166824.0,7795.710932889794
Linear Model,168178.0,7817.995878811201
Linear Model,170289.0,7852.7399857832015
Linear Model,172826.0,7894.495456833873
Linear Model,174835.0,7927.560786491264
Linear Model,176535.0,7955.540408401448
Linear Model,178904.0,7994.530834463349
Linear Model,181837.0,8042.80391155898
Linear Model,183792.0,8074.980476755694
Linear Model,185566.0,8104.178035149029
Linear Model,186494.0,8119.451616991766
Linear Model,190739.0,8189.318378761612
Linear Model,193208.0,8229.954664935874
Linear Model,195684.0,8270.706161318005
Linear Model,198329.0,8314.239161290028
Linear Model,199523.0,8333.890731031654
Linear Model,201861.0,8372.37094045872
Linear Model,204976.0,8423.639482958855
Linear Model,207465.0,8464.60494115559
Linear Model,210061.0,8507.331469672557
Linear Model,212541.0,8548.148800459181
Linear Model,215574.0,8598.067737667177
Linear Model,216935.0,8620.467893796449
Linear Model,219704.0,8666.041760307804
Linear Model,223984.0,8736.484573116977
Linear Model,226721.0,8781.531764392377
Linear Model,229446.0,8826.381452454292
Linear Model,232497.0,8876.596644482514
Linear Model,235898.0,8932.572346904008
Linear Model,238191.0,8970.311919280512
Linear Model,240586.0,9009.730268971627
Linear Model,243974.0,9065.492009578513
Linear Model,248905.0,9146.649371719177
Linear Model,251822.0,9194.65911119683
Linear Model,254739.0,9242.668850674483
Linear Model,260195.0,9332.466978405057
Linear Model,264545.0,9404.061893292885
Linear Model,268395.0,9467.427507618893
Linear Model,273304.0,9548.222780534834
Linear Model,277892.0,9623.734842490088
Linear Model,281888.0,9689.503412580149
Linear Model,287329.0,9779.054661293867
Linear Model,292173.0,9858.780125136771
Linear Model,296394.0,9928.25188047965
Linear Model,300597.0,9997.427381002304
Linear Model,306437.0,10093.545611564354
Linear Model,311043.0,10169.353928339831
Linear Model,315586.0,10244.125353244523
