Country,Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
United States,2021-02-02,26499620.0,454852.0,311801259.0,8.074229128580134,3.513193174893381,1.7164472547153506,11.766253968924838
United States,2021-02-03,26621311.0,458734.0,313670593.0,8.111307434491163,3.707830591102912,1.7231833548693378,11.782687674547658
United States,2021-02-04,26745317.0,462480.0,315599256.0,8.149091102985984,3.77836684948214,1.729199919372801,11.800168829556217
United States,2021-02-05,26879739.0,466145.0,317428822.0,8.19004844606947,4.095734308348575,1.7341872255530455,11.80922262675244
United States,2021-02-06,26983915.0,468828.0,318762055.0,8.221790067032298,3.1741620962828065,1.7374350608501399,11.81303954596655
United States,2021-02-07,27073661.0,470264.0,319590733.0,8.249134978671542,2.7344911639243463,1.7369797161898421,11.804488982853114
United States,2021-02-08,27164099.0,471884.0,320633167.0,8.276690737355272,2.7555758683730502,1.7371605073299137,11.80356348281605
United States,2021-02-09,27259364.0,474933.0,322325131.0,8.305717245581961,2.9026508226689174,1.7422746913684413,11.824381926152055
United States,2021-02-10,27354614.0,478237.0,323964015.0,8.334739183424741,2.902193784277962,1.7482864133999478,11.84312142002808
United States,2021-02-11,27460378.0,481453.0,325379422.0,8.366964655697744,3.222547227300332,1.75326428500001,11.849051094635332
United States,2021-02-12,27560048.0,484380.0,326791618.0,8.397333333333332,3.0368677635587815,1.7575441087765886,11.857440088638452
United States,2021-02-13,27647267.0,486576.0,327893095.0,8.423908287629494,2.657495429616219,1.7599424926883371,11.859873708312652
United States,2021-02-14,27712402.0,487747.0,328557015.0,8.44375441803778,1.98461304082862,1.7600314833770094,11.855955864092907
United States,2021-02-15,27766681.0,488710.0,329355650.0,8.460292809262643,1.6538391224862892,1.7600591154556786,11.861541896202862
United States,2021-02-16,27829179.0,490463.0,330606301.0,8.47933546617916,1.904265691651652,1.762405567192622,11.879843850226411
United States,2021-02-17,27899318.0,492860.0,332077211.0,8.500706276660573,2.137081048141276,1.766566480227223,11.90269995130347
United States,2021-02-18,27969229.0,495376.0,333491939.0,8.522007617306521,2.130134064594813,1.7711464266676782,11.923529926405909
United States,2021-02-19,28048511.0,498000.0,334845620.0,8.54616422912858,2.4156611822059304,1.7754953195198133,11.938088977343574
United States,2021-02-20,28120207.0,499835.0,335903991.0,8.568009445460085,2.18452163315046,1.777494027693324,11.945288702888993
United States,2021-02-21,28177359.0,501071.0,336587730.0,8.585423217550273,1.7413772090188573,1.7782752457389635,11.945325677967194
United States,2021-02-22,28233518.0,502390.0,337626639.0,8.602534430225472,1.7111212675198217,1.779409848960374,11.958362362069083
United States,2021-02-23,28305788.0,504667.0,339270110.0,8.624554539914687,2.2020109689215417,1.7829109721305056,11.985891719389688
United States,2021-02-24,28380537.0,507849.0,340957685.0,8.647329981718464,2.2775441803776886,1.789427028812034,12.013785539012176
United States,2021-02-25,28458041.0,510285.0,342569008.0,8.670944850700792,2.361486898232812,1.7931135878256694,12.037687625792653
United States,2021-02-26,28535390.0,512363.0,344044968.0,8.694512492382692,2.3567641681900398,1.7955352984486983,12.056781701599313
United States,2021-02-27,28600016.0,513884.0,345119332.0,8.714203534430226,1.9691042047533358,1.7967961975965328,12.067102759662792
United States,2021-02-28,28651438.0,514976.0,345752427.0,8.729871419865935,1.5667885435709294,1.797382735205123,12.06754184554367
United States,2021-03-01,28709536.0,516493.0,346746217.0,8.747573430834857,1.7702010968921655,1.7990294235336997,12.077736714379501
United States,2021-03-02,28766634.0,518436.0,348357929.0,8.764970749542963,1.7397318708106013,1.8022129387817845,12.10979112119965
United States,2021-03-03,28833825.0,520917.0,350094710.0,8.785443327239488,2.0472577696525107,1.8066177484256773,12.141806021226806
United States,2021-03-04,28901885.0,522839.0,351646841.0,8.806180682510664,2.0737355271176483,1.8090134951405417,12.166917175125429
United States,2021-03-05,28968304.0,524642.0,353077195.0,8.82641803778184,2.023735527117587,1.8110898035314733,12.188397187491542
United States,2021-03-06,29026558.0,526152.0,354143550.0,8.844167580743449,1.7749542961608356,1.8126572223961241,12.200673259295849
United States,2021-03-07,29067631.0,526854.0,354752446.0,8.856682205971968,1.2514625228519094,1.8125109679560745,12.204381086301805
United States,2021-03-08,29112548.0,527591.0,355728869.0,8.870368068251066,1.3685862279098515,1.812246045931809,12.219090853881976
United States,2021-03-09,29170215.0,529397.0,357269129.0,8.887938756855576,1.75706886045095,1.8148546385414026,12.247737255279057
United States,2021-03-10,29228110.0,530967.0,358882424.0,8.905578915295552,1.7640158439975906,1.8166313182754548,12.278673646705176
United States,2021-03-11,29290581.0,532525.0,360379500.0,8.924613345521024,1.9034430225472576,1.8180759200372296,12.303596845689063
United States,2021-03-12,29352094.0,534069.0,361777736.0,8.943355880560635,1.874253503961043,1.8195260617521871,12.325448944119625
United States,2021-03-13,29405125.0,535099.0,362802451.0,8.959514015843997,1.6158135283362185,1.8197474079773508,12.338068652998414
United States,2021-03-14,29443403.0,535683.0,363381398.0,8.971177026203534,1.166301035953765,1.8193651053174795,12.341691549716586
